Polls,date,Trump,Carson,Rubio,Cruz,Bush,Paul,Kasich,Fiorina,Huckabee,Christie,Jindal,Santorum,Pataki,Graham,Spread
Quinnipiac,11/30/2015,27,16,17,16,5,,,,,,,,,,Trump +10
FOX News,11/19/2015,28,18,14,14,5,,,,,,,,,,Trump +10
ABC/Wash Post,11/18/2015,32,22,11,8,6,,,,,,,,,,Trump +10
PPP (D),11/17/2015,26,19,13,14,5,,,,,,,,,,Trump +7
Bloomberg,11/15/2015,24,20,12,9,6,,,,,,,,,,Trump +4
McClatchy/Marist,11/4/2015,23,24,12,8,8,5,4,3,3,2,1,1,1,0,Carson +1
FOX News,11/3/2015,26,23,11,11,4,4,4,3,4,2,0,0,0,0,Trump +3
Quinnipiac,11/2/2015,24,23,14,13,4,2,3,3,1,3,0,1,0,0,Trump +1
NBC/WSJ,10/29/2015,23,29,11,10,8,2,3,3,3,3,--,--,--,--,Carson +6
CBS/NY Times,10/25/2015,22,26,8,4,7,4,4,7,4,1,0,1,0,2,Carson +4
NBC/WSJ,10/18/2015,25,22,13,9,8,2,3,7,3,1,0,0,0,0,Trump +3
ABC/Wash Post,10/18/2015,32,22,10,6,7,2,2,5,3,3,0,0,1,1,Trump +10
CNN/ORC,10/17/2015,27,22,8,4,8,5,3,4,5,4,0,2,0,1,Trump +5
FOX News,10/12/2015,24,23,9,10,8,3,1,5,5,1,1,0,1,0,Trump +1
CBS News,10/8/2015,27,21,8,9,6,4,2,6,2,3,0,1,0,0,Trump +6
PPP (D),10/4/2015,27,17,13,7,10,2,4,6,4,2,1,2,1,1,Trump +10
IBD/TIPP,10/1/2015,17,24,11,6,8,3,4,9,2,2,1,0,0,0,Carson +7
USAT/Suffolk,9/28/2015,23,13,9,6,8,2,2,13,2,1,1,0,0,1,Trump +10
Pew Research*,9/27/2015,25,16,8,6,4,2,1,8,2,1,0,0,0,1,Trump +9
NBC/WSJ,9/24/2015,21,20,11,5,7,3,6,11,2,3,1,1,0,0,Trump +1
Bloomberg,9/21/2015,21,16,8,5,13,2,4,11,3,4,1,1,0,0,Trump +5
CNN/ORC,9/19/2015,24,14,11,6,9,4,2,15,6,3,0,1,0,0,Trump +9
CBS/NY Times,9/13/2015,27,23,6,5,6,3,3,4,6,1,0,1,0,0,Trump +4
ABC/Wash Post,9/10/2015,33,20,7,7,8,5,3,2,3,1,1,1,0,0,Trump +13
CNN/ORC,9/8/2015,32,19,3,7,9,3,2,3,5,2,1,1,0,1,Trump +13
Monmouth,9/2/2015,30,18,5,8,8,2,2,4,4,2,0,0,0,0,Trump +12
PPP (D),8/30/2015,29,15,7,6,9,1,6,8,5,2,0,2,0,0,Trump +14
Quinnipiac,8/25/2015,28,12,7,7,7,2,5,5,3,4,0,1,0,0,Trump +16
CNN/ORC,8/16/2015,24,9,8,5,13,6,5,5,4,3,0,1,0,0,Trump +11
FOX News,8/13/2015,25,12,4,10,9,3,4,5,6,3,1,1,1,0,Trump +13
Rasmussen,8/10/2015,17,8,10,7,10,4,4,9,3,4,1,1,0,1,Trump +7
Bloomberg,8/2/2015,21,5,6,4,10,5,4,1,7,4,1,2,0,1,Trump +11
NBC/WSJ,7/30/2015,19,10,5,9,14,6,3,0,6,3,1,1,0,0,Trump +4
Quinnipiac,7/28/2015,20,6,6,5,10,6,5,1,6,3,2,1,1,1,Trump +7
Rasmussen,7/27/2015,26,5,5,7,10,3,5,1,7,2,2,2,1,1,Trump +12
CNN/ORC,7/25/2015,18,4,6,7,15,6,4,1,5,4,2,2,1,1,Trump +3
PPP (D),7/21/2015,19,10,10,4,12,4,3,4,8,3,1,1,0,0,Trump +2
ABC/Wash Post,7/19/2015,24,6,7,4,12,6,2,0,8,3,2,1,1,0,Trump +11
FOX News,7/15/2015,18,6,7,4,14,8,2,1,4,3,0,2,0,0,Trump +3
USAT/Suffolk,7/12/2015,17,4,5,6,14,4,1,1,4,3,1,1,0,0,Trump +3
CNN/ORC,6/28/2015,12,7,6,3,19,7,2,1,8,3,2,3,0,1,Bush +7
FOX News,6/23/2015,11,10,8,4,15,9,2,3,6,2,2,3,1,1,Bush +4
NBC/WSJ,6/18/2015,1,11,14,4,22,7,1,2,9,4,0,0,0,1,Bush +5
Monmouth,6/14/2015,2,11,9,5,9,6,1,2,8,4,1,3,0,2,Carson +1
FOX News,6/2/2015,4,11,7,8,12,9,2,2,6,5,1,2,2,2,Tie
CNN/ORC,5/31/2015,3,7,14,8,13,8,1,1,10,4,1,2,3,1,Rubio +1
Quinnipiac,5/26/2015,5,10,10,6,10,7,2,2,10,4,1,0,0,1,Tie
FOX News,5/12/2015,4,13,9,6,13,7,2,1,10,6,1,2,0,0,Tie
PPP (D),5/10/2015,--,12,13,10,11,9,--,--,12,5,--,--,--,--,Walker +5
NBC/WSJ,4/30/2015,--,7,18,11,23,11,--,1,5,5,--,--,--,--,Bush +5
FOX News,4/21/2015,5,6,13,8,9,10,2,0,9,6,1,1,1,1,Rubio +1
CNN/ORC,4/19/2015,--,4,11,7,17,11,2,2,9,4,2,3,0,2,Bush +5
PPP (D),3/31/2015,--,10,6,16,17,10,--,--,6,4,--,--,--,--,Walker +3
ABC/Wash Post,3/29/2015,--,6,8,12,21,8,1,1,8,7,1,2,--,1,Bush +8
CNN/ORC,3/15/2015,--,9,7,4,16,12,2,0,10,7,1,1,--,1,Bush +3
McClatchy/Marist,3/4/2015,--,9,5,4,19,7,--,2,10,6,--,2,--,1,Bush +1
Quinnipiac,3/2/2015,--,7,5,6,16,6,1,--,8,8,2,2,--,1,Walker +2
PPP (D),2/22/2015,--,18,3,5,17,4,--,--,10,5,--,--,--,--,Walker +7
CNN/ORC,2/15/2015,--,9,6,3,12,11,2,1,17,7,1,2,--,1,Huckabee +5
FOX News,1/27/2015,--,10,5,4,15,13,2,--,13,6,3,2,--,1,Bush +2