Source,Date,Trump,Carson,Rubio,Cruz,Bush,Kasich,Fiorina,Paul,Huckabee,Christie,Pataki,Santorum,Graham,Jindal,Spread
ABC/Wash Post,10/18/2015,32,22,10,6,7,2,5,2,3,3,1,0,1,0,Trump +10
ABC/Wash Post,9/10/2015,33,20,7,7,8,3,2,5,3,1,0,1,0,1,Trump +13
ABC/Wash Post,7/19/2015,24,6,7,4,12,2,0,6,8,3,1,1,0,2,Trump +11
ABC/Wash Post,5/31/2015,4,8,10,8,10,3,2,11,9,6,1,4,1,1,Tie
ABC/Wash Post,3/29/2015,--,6,8,12,21,1,1,8,8,7,--,2,1,1,Bush +8
ABC/Wash Post,12/14/2014,--,8,7,8,14,2,--,10,7,7,--,3,--,3,Bush +4
ABC/Wash Post,10/12/2014,--,7,8,4,13,2,--,12,12,8,--,4,--,2,Bush +1
ABC/Wash Post,4/27/2014,--,--,6,7,12,1,--,15,14,9,--,--,--,2,Paul +1
ABC/Wash Post,1/23/2014,--,--,10,12,18,--,--,11,--,14,--,--,--,--,Bush +4
CNN/ORC,10/17/2015,27,22,8,4,8,3,4,5,5,4,0,2,1,0,Trump +5
CNN/ORC,9/19/2015,24,14,11,6,9,2,15,4,6,3,0,1,0,0,Trump +9
CNN/ORC,9/8/2015,32,19,3,7,9,2,3,3,5,2,0,1,1,1,Trump +13
CNN/ORC,8/16/2015,24,9,8,5,13,5,5,6,4,3,0,1,0,0,Trump +11
CNN/ORC,7/25/2015,18,4,6,7,15,4,1,6,5,4,1,2,1,2,Trump +3
CNN/ORC,6/28/2015,12,7,6,3,19,2,1,7,8,3,0,3,1,2,Bush +7
CNN/ORC,5/31/2015,3,7,14,8,13,1,1,8,10,4,3,2,1,1,Rubio +1
CNN/ORC,4/19/2015,--,4,11,7,17,2,2,11,9,4,0,3,2,2,Bush +5
CNN/ORC,3/15/2015,--,9,7,4,16,2,0,12,10,7,--,1,1,1,Bush +3
CNN/ORC,2/15/2015,--,9,6,3,12,2,1,11,17,7,--,2,1,1,Huckabee +5
CNN/ORC,12/21/2014,--,7,5,4,23,3,--,6,6,13,--,2,--,4,Bush +10
CNN/ORC,11/23/2014,--,11,3,7,14,3,--,8,10,9,--,2,--,1,Bush +3
CNN/ORC,7/20/2014,--,--,6,8,8,--,--,12,12,13,--,3,--,--,Christie +1
CNN/ORC,6/1/2014,--,--,8,9,12,--,--,14,11,8,--,4,--,--,Paul +2
CNN/ORC,5/4/2014,--,--,6,7,13,--,--,13,10,9,--,2,--,--,Tie
CNN/ORC,3/9/2014,--,--,5,8,9,--,--,16,10,8,--,3,--,--,Paul +5
CNN/ORC,2/2/2014,--,--,10,10,9,--,--,14,16,12,--,5,--,--,Huckabee +2
FOX News,11/3/2015,26,23,11,11,4,4,3,4,4,2,0,0,0,0,Trump +3
FOX News,10/12/2015,24,23,9,10,8,1,5,3,5,1,1,0,0,1,Trump +1
FOX News,9/22/2015,26,18,9,8,7,4,9,2,3,5,1,0,0,0,Trump +8
FOX News,8/13/2015,25,12,4,10,9,4,5,3,6,3,1,1,0,1,Trump +13
FOX News,8/2/2015,26,7,5,6,15,3,2,5,6,3,0,2,0,1,Trump +11
FOX News,7/15/2015,18,6,7,4,14,2,1,8,4,3,0,2,0,0,Trump +3
FOX News,6/23/2015,11,10,8,4,15,2,3,9,6,2,1,3,1,2,Bush +4
FOX News,6/2/2015,4,11,7,8,12,2,2,9,6,5,2,2,2,1,Tie
FOX News,5/12/2015,4,13,9,6,13,2,1,7,10,6,0,2,0,1,Tie
FOX News,4/21/2015,5,6,13,8,9,2,0,10,9,6,1,1,1,1,Rubio +1
FOX News,3/31/2015,3,11,8,10,12,1,1,9,10,4,1,2,0,2,Walker +3
FOX News,1/27/2015,--,10,5,4,15,2,--,13,13,6,--,2,1,3,Bush +2
FOX News,7/22/2014,--,--,9,9,12,2,--,11,--,10,--,3,--,4,Tie
FOX News,4/15/2014,--,--,8,7,14,--,--,14,--,15,--,5,--,2,Christie +1